Invoice number,5655970117,
Invoice date,2026-07-31,
Due date,2026-08-30,
Billing ID,3028-9127-5329,
Billing account ID,010FC8-663B3D-2AE43C,
Currency,EUR,
Currency exchange rate,0.8753,
Total amount due,€277.36,
Billing account name,Billing account ID,Project name,Project ID,Project hierarchy,Service description,Service ID,SKU description,SKU ID,Consumption model description,Credit type,Cost type,Usage start date,Usage end date,Usage amount,Usage unit,Unrounded Cost (€),Cost (€)
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Build,8B5D-EF7D-EB12,Cloud Build: Network Data Transfer Out Internet Premium within Europe,2507-2CC3-F4A2,Default,,Usage,2026-07-17,2026-07-22,0.001,gibibyte,0.000097,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Build,8B5D-EF7D-EB12,Cloud Build: Network Data Transfer Out Internet Premium within Europe,2507-2CC3-F4A2,Default,,Usage,2026-07-17,2026-07-22,0.001,gibibyte,0.000094,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Streaming Insert,934C-4547-E59A,Default,,Usage,2026-07-17,2026-07-22,0.083,mebibyte,0.000002,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,Default,,Usage,2026-07-17,2026-07-22,10.05,minute,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Build,8B5D-EF7D-EB12,Build time e2-standard-2,A464-9020-6404,Default,,Usage,2026-07-17,2026-07-22,8.867,minute,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],BigQuery,24E6-581D-38E5,Analysis,1DF5-1F98-1DD1,Default,,Usage,2026-07-16,2026-07-22,0.001,tebibyte,0.000000,0.00
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Veo Generation 1080p with Audio,211A-68DA-2D04,Default,,Usage,2026-07-04,2026-07-31,80,second,28.009600,28.01
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Image Input - Predictions,A44E-F89C-67C0,Default,,Usage,2026-07-04,2026-07-31,"2,838",count,0.001234,0.00
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Image Output - Predictions,1BD4-2AB9-AEFB,Default,,Usage,2026-07-03,2026-07-31,"92,680",count,4.867360,4.87
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Text Output - Predictions,CE23-3061-A132,Default,,Usage,2026-07-03,2026-07-31,"20,017",count,0.052552,0.05
RT-Solarity,010FC8-663B3D-2AE43C,iginsider,iginsider,[Project not associated with any folders or organizations],Gemini API,AEFD-7695-64FA,Gemini 3.1 Flash Image Text Input - Predictions,79EE-4DC9-1607,Default,,Usage,2026-07-03,2026-07-31,"12,894",count,0.005635,0.01
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry-staging,righttenantry-staging,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Cloud Run Network Data Transfer Out via Carrier Peering Network - Europe Based,1EA7-1C33-8290,Default,,Usage,2026-07-03,2026-07-04,0.004,gibibyte,0.000053,0.00
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services CPU (Instance-based billing) in europe-west1,4C19-DF1E-81AB,Default,,Usage,2026-07-01,2026-07-31,"8,038,555.427",second,126.649812,126.65
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Cloud Run,152E-C115-5142,Services Memory (Instance-based billing) in europe-west1,A1D5-F449-FAFC,Default,,Usage,2026-07-01,2026-07-31,"12,055,670.267",gibibyte second,21.103808,21.10
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.5 Flash Global Text Input - Predictions,9733-FF95-45E3,Default,,Usage,2026-07-01,2026-07-17,"12,135,263",count,15.932847,15.93
RT-Solarity,010FC8-663B3D-2AE43C,righttenantry,righttenantry,[Project not associated with any folders or organizations],Vertex AI,C7E2-9256-1C43,Gemini 3.0 / 3.1 Pro Text Output - Predictions,2737-2D33-D986,Default,,Usage,2026-07-01,2026-07-17,"1,253,247",count,13.163432,13.16
