Service description,Service ID,List cost (€),Negotiated savings (€),Savings programs (€),Other savings (€),Unrounded subtotal (€),Subtotal (€),Percent change in subtotal compared to previous period
Cloud Run,152E-C115-5142,583.62,0.00,0.00,0.00,583.620455,583.62,New
Vertex AI,C7E2-9256-1C43,552.71,0.00,0.00,0.00,552.708996,552.71,New
Gemini API,AEFD-7695-64FA,191.44,0.00,0.00,0.00,191.438321,191.44,New
Container Registry Vulnerability Scanning,82AF-DE7A-51D0,13.23,0.00,0.00,0.00,13.226520,13.23,New
Artifact Registry,149C-F9EC-3994,12.09,0.00,0.00,0.00,12.088999,12.09,New
Secret Manager,EE82-7A5E-871C,4.38,0.00,0.00,0.00,4.381220,4.38,New
Dataplex,51C6-B3F5-9B38,0.59,0.00,0.00,0.00,0.588232,0.59,New
Cloud Scheduler,1F14-4801-0E16,0.09,0.00,0.00,0.00,0.087528,0.09,New
Cloud Storage,95FF-2EF5-5EA1,0.02,0.00,0.00,0.00,0.019443,0.02,New
BigQuery,24E6-581D-38E5,0.01,0.00,0.00,0.00,0.005447,0.01,New
Cloud Build,8B5D-EF7D-EB12,0.00,0.00,0.00,0.00,0.002476,0.00,New
,,,,,Subtotal,1358.167637,1358.17
,,,,,Tax,0.000000,0.00
,,,,,Filtered total,1358.164142,1358.16
