frame_ms,class,max_run_h,max_run_v
64000,red,22,35
64050,red,22,35
64100,red,22,35
64150,red,22,35
64200,red,22,35
64250,red,22,35
64300,red,22,35
64350,red,22,35
64400,red,22,35
64450,red,22,35
64500,red,22,35
64550,red,31,35
64600,amber,37,35
64650,amber,37,35
64700,amber,37,35
64750,amber,37,35
64800,amber,37,35
64850,amber,37,35
64900,amber,37,35
64950,amber,37,35
65000,amber,37,35
65050,amber,37,35
65100,red,28,35
65150,red,22,35
65200,red,22,35
65250,red,22,35
65300,red,22,35
65350,red,31,35
65400,amber,37,35
65450,amber,37,35
65500,amber,37,35
65550,amber,37,35
65600,amber,37,35
65650,amber,37,35
65700,red,22,35
65750,red,22,35
65800,red,22,35
65850,red,22,35
65900,red,22,35
65950,red,22,35
66000,red,22,35
66050,red,22,35
66100,red,22,35
66150,red,22,35
66200,red,22,35
66250,red,22,35
66300,red,22,35
66350,red,22,35
66400,red,22,35
66450,red,22,35
