frame_ms,class,max_run_h,max_run_v
44000,red,269,12
44050,red,269,12
44100,red,269,12
44150,red,269,12
44200,red,269,12
44250,red,269,12
44300,red,269,12
44350,red,269,12
44400,amber,269,12
44450,amber,269,12
44500,amber,269,12
44550,amber,268,12
44600,amber,267,12
44650,amber,265,12
44700,amber,265,12
44750,amber,265,12
44800,amber,265,12
44850,amber,269,12
44900,amber,269,12
44950,red,269,12
45000,red,269,12
45050,red,269,12
45100,red,269,12
45150,red,269,12
45200,red,269,12
45250,red,269,12
45300,red,269,12
45350,red,269,12
45400,red,269,12
45450,red,269,12
45500,red,269,12
45550,red,269,12
45600,red,269,12
45650,red,269,12
45700,red,269,12
45750,red,269,12
45800,red,269,12
45850,red,269,12
45900,red,269,12
45950,red,269,12
46000,amber,269,12
46050,amber,269,12
46100,amber,269,12
46150,amber,269,12
46200,amber,269,12
46250,amber,269,12
46300,amber,269,12
46350,amber,269,12
46400,amber,269,12
46450,amber,269,12
