frame_ms,class,max_run_h,max_run_v
44000,red,205,10
44050,red,205,10
44100,red,205,10
44150,red,216,10
44200,red,226,10
44250,red,237,10
44300,red,248,10
44350,red,258,10
44400,amber,269,10
44450,amber,280,10
44500,amber,290,10
44550,amber,290,10
44600,amber,290,10
44650,amber,343,10
44700,amber,332,10
44750,amber,321,10
44800,amber,311,10
44850,amber,300,10
44900,amber,289,10
44950,red,278,10
45000,red,268,10
45050,red,257,10
45100,red,246,10
45150,red,236,10
45200,red,225,10
45250,red,214,10
45300,red,204,10
45350,red,193,10
45400,red,182,10
45450,red,171,10
45500,red,162,10
45550,red,173,10
45600,red,183,10
45650,red,194,10
45700,red,205,10
45750,red,216,10
45800,red,226,10
45850,red,237,10
45900,red,248,10
45950,red,258,10
46000,amber,269,10
46050,amber,280,10
46100,amber,290,10
46150,amber,290,10
46200,amber,290,10
46250,amber,343,10
46300,amber,332,10
46350,amber,321,10
46400,amber,311,10
46450,amber,300,10
